	$\frac{\Delta G^\circ_{MPNN}-\mu}{\sigma}$	$\Delta G^\circ_{MPNN}(\mu=-411.2,\sigma=40.9$	$\Delta G^\circ_{GCM}$
CPD-13339	-2.8492555618286133	-527.8220825195312	-509.124826736
CPD-13343	0.8743307590484619	-375.445556640625	30.5341571208
CPD-13346	0.4538935422897339	-392.65069580078125	190.428262248
CPD-13353	-2.1224124431610107	-498.0782470703125	202.223213472
CPD-13357	-2.060659408569336	-495.5511779785156	-288.997147584
CPD-13364	-2.998748779296875	-533.9396362304688	-587.40280576
CPD-13370	-0.09744976460933685	-415.2127380371094	440.2455008
CPD-13379	-0.6469749808311462	-437.7004089355469	546.50625592
CPD-13394	-3.155113935470581	-540.3384399414062	-78.430950248
CPD-13395	-3.1632094383239746	-540.669677734375	-171.157720568
CPD-13397	-2.9445111751556396	-531.7201538085938	-47.339098144
CPD-13398	-2.2613868713378906	-503.76531982421875	289.70095496
CPD-13401	-2.9466567039489746	-531.8079223632812	232.570493488
CPD-13403	-3.249260425567627	-544.1911010742188	6.722786348
CPD-13404	-3.823917865753174	-567.7072143554688	-350.827354
CPD-13406	-3.7878732681274414	-566.232177734375	-435.98102156
CPD-13407	2.399867534637451	-313.017578125	-36.953761624
CPD-13413	-2.8805556297302246	-529.1029663085938	-406.64731136
CPD-13414	-2.0094199180603027	-493.454345703125	-384.32736588
CPD-13428	-3.813330888748169	-567.27392578125	-397.59112704
CPD-13430	-2.9603943824768066	-532.3701171875	-167.229425728
CPD-13462	-4.151340484619141	-581.10595703125	-245.028453904
CPD-13482	0.30629587173461914	-398.690673828125	369.11285656
CPD-13483	-1.2494277954101562	-462.3539733886719	319.08623296
CPD-13489	-0.7149361968040466	-440.48150634765625	1089.0046164
CPD-13492	-0.1975339651107788	-419.30841064453125	1131.10984016
CPD-13499	-2.676501989364624	-520.752685546875	-503.94798864
CPD-13504	-0.604077160358429	-435.9449462890625	375.65470792
CPD-13517	5.476901531219482	-187.09927368164062	206.838567136
CPD-13518	-2.8489768505096436	-527.8106689453125	195.998367056
CPD-13530	-4.5779523849487305	-598.5637817382812	-747.85451968
CPD-13555	2.384692907333374	-313.6385498046875	63.299593744
CPD-13559	-3.8133301734924316	-567.27392578125	-397.59112704
CPD-13560	2.453003168106079	-310.8431701660156	109.584005904
CPD-13577	-0.9576829075813293	-450.4151916503906	421.29202264
CPD-13578	-0.09478133916854858	-415.1035461425781	579.90352968
CPD-13584	9.359847068786621	-28.201446533203125	-135.61205904
CPD-13585	0.22507447004318237	-402.0144348144531	141.294064928
CPD-13594	2.2568905353546143	-318.8684997558594	520.69917656
CPD-13614	2.317876100540161	-316.3728332519531	337.6538208
CPD-13644	-2.129405975341797	-498.3644104003906	119.393272568
CPD-13712	-1.1312000751495361	-457.515869140625	-37.38075556
CPD-13722	-2.042412757873535	-494.8044738769531	-224.856385744
CPD-13773	0.6474906802177429	-384.7283020019531	416.680267216
CPD-13780	-1.5192546844482422	-473.39581298828125	385.17117408
CPD-13789	-4.718358516693115	-604.3094482421875	-561.408074
CPD-13829	-2.9483349323272705	-531.8765869140625	-246.00480704
CPD-13844	-2.4529178142547607	-511.6031494140625	218.480601528
CPD-13859	1.9654128551483154	-330.79632568359375	-61.448165376
CPD-13886	-3.2968878746032715	-546.1400756835938	-93.44206696
CPD-13894	-0.7603260278701782	-442.3389587402344	362.320986096
CPD-13895	1.160268783569336	-363.7444152832031	713.9303548
CPD-13900	-3.1457326412200928	-539.9545288085938	-314.05279728
CPD-13901	-3.178161382675171	-541.2815551757812	-305.5286504
CPD-13903	-3.942830801010132	-572.5733642578125	-590.24980856
CPD-13904	-3.166531562805176	-540.8056640625	-409.74081452
CPD-13905	-3.9771039485931396	-573.9758911132812	-590.24980856
CPD-13906	-1.0209684371948242	-453.0049743652344	170.163673296
CPD-13907	-4.574726104736328	-598.4317626953125	-687.14262952
CPD-13910	-4.629370212554932	-600.6679077148438	-844.94398864
CPD-13911	-5.537363052368164	-637.8247680664062	-1045.50444704
CPD-13912	-5.567110538482666	-639.0421142578125	-972.27482384
CPD-13913	-4.683238983154297	-602.872314453125	-788.86901648
CPD-13914	-4.636147975921631	-600.9452514648438	-852.47527232
CPD-13927	-2.5616798400878906	-516.0538940429688	-233.429719728
CPD-13930	-0.22261500358581543	-420.3347473144531	-81.84807744
CPD-13939	-2.438697099685669	-511.021240234375	-230.802385296
CPD-13943	-2.021052837371826	-493.9303894042969	-320.302831376
CPD-13944	-3.1287245750427246	-539.258544921875	-355.85821652
CPD-13948	-2.033839702606201	-494.45367431640625	67.930068384
CPD-13963	-2.0673134326934814	-495.823486328125	-79.314238672
CPD-13964	-2.0508713722229004	-495.150634765625	1.11158947184
CPD-13969	-2.0508713722229004	-495.150634765625	1.11158947184
CPD-13971	-1.6386051177978516	-478.2798767089844	152.81486792
CPD-14005	-1.8379955291748047	-486.4393310546875	-165.871424848
CPD-14019	-2.9483344554901123	-531.8765869140625	-246.00480704
CPD-14053	-2.93713116645813	-531.4181518554688	281.992411936
CPD-14054	-2.93713116645813	-531.4181518554688	281.992411936
CPD-14057	0.7662372589111328	-379.86895751953125	746.580408
CPD-14064	1.5533568859100342	-347.6584777832031	355.76121048
CPD-14068	1.1008070707321167	-366.1777038574219	13.506073336
CPD-14074	-0.5818325281143188	-435.03466796875	17.2157525024
CPD-14075	4.119312286376953	-242.65451049804688	430.14413236
CPD-14078	0.5096578598022461	-390.36871337890625	-3.0727312736
CPD-14079	-1.1181647777557373	-456.982421875	245.26174956
CPD-14083	-1.524895429611206	-473.62664794921875	-215.424017984
CPD-14086	-1.2488675117492676	-462.3310546875	284.113474
CPD-14094	-1.7488584518432617	-482.7916564941406	3.92002210968
CPD-14096	-2.455599308013916	-511.712890625	-161.26430948
CPD-14100	-0.810705840587616	-444.4006042480469	268.69685656
CPD-14102	1.5706889629364014	-346.94921875	20.6552574
CPD-14103	-1.997995138168335	-492.98681640625	-369.34875048
CPD-14104	-1.9727742671966553	-491.9547424316406	-422.11836264
CPD-14105	-2.7812657356262207	-525.039794921875	-689.506464
CPD-14118	-2.424710750579834	-510.4488830566406	-90.249030624
CPD-14119	-2.527547597885132	-514.6571655273438	-227.535484624
CPD-14120	-2.8817825317382812	-529.1531372070312	-296.43142104
CPD-14122	-2.54697322845459	-515.4520874023438	-5.8005733352
CPD-14123	-2.4668023586273193	-512.1713256835938	-64.302268424
CPD-14129	-1.4040896892547607	-468.68304443359375	-113.617934192
CPD-14131	-3.0493640899658203	-536.0109252929688	-405.52432576
CPD-14135	-0.5762999057769775	-434.8082580566406	111.20168256
CPD-14136	-2.16034197807312	-499.63037109375	-461.47377792
CPD-14147	0.5770180225372314	-387.6121826171875	481.0070748
CPD-14149	-2.0469677448272705	-494.9908752441406	22.762039472
CPD-14150	0.5540326833724976	-388.55279541015625	473.4340348
CPD-14151	-0.3014647364616394	-423.56146240234375	308.24967296
CPD-14152	1.2089011669158936	-361.7542724609375	45.880074584
CPD-14170	0.5971978902816772	-386.7864074707031	388.2802208
CPD-14173	-2.124605894088745	-498.1679992675781	-286.291681136
CPD-14174	2.765247106552124	-298.0655517578125	137.096738888
CPD-142	-1.9047513008117676	-489.1711120605469	-292.40494864
CPD-14202	-2.987839460372925	-533.4932250976562	196.462075592
CPD-14203	-2.987839460372925	-533.4932250976562	196.462075592
CPD-1421	2.4365956783294678	-311.51458740234375	555.26370264
CPD-1422	2.395348310470581	-313.2025146484375	555.26370264
CPD-14225	-2.1571617126464844	-499.500244140625	132.527120528
CPD-14226	-2.1571617126464844	-499.500244140625	132.527120528
CPD-143	-6.972968101501465	-696.5725708007812	-864.9348896
CPD-14303	1.0989515781402588	-366.2536315917969	54.685239824
CPD-14343	-2.85312557220459	-527.98046875	-565.67144448
CPD-14344	-1.3920810222625732	-468.1916198730469	-113.617934192
CPD-14345	-2.5186784267425537	-514.294189453125	-247.832060256
CPD-14378	0.21990706026554108	-402.22589111328125	933.59215392
CPD-14380	-1.0725927352905273	-455.1175231933594	-26.335008112
CPD-14381	0.4302149713039398	-393.6196594238281	126.96674352
CPD-14382	-0.17881476879119873	-418.5423583984375	78.139467704
CPD-144	-5.038349151611328	-617.4041137695312	-624.05736536
CPD-14427	-1.5811033248901367	-475.9267883300781	-166.118515152
CPD-14435	-2.773655414581299	-524.7283935546875	-539.75169
CPD-14441	-0.012704014778137207	-411.7447814941406	-150.81838864
CPD-14442	-1.9999608993530273	-493.0672607421875	-276.70557648
CPD-14443	-3.2493319511413574	-544.1939697265625	-501.4959136
CPD-14447	-0.6893369555473328	-439.4339599609375	-132.869037008
CPD-14474	-0.8938719630241394	-447.8039245605469	259.12482688
CPD-14488	-4.687214374542236	-603.0350341796875	-708.65228064
CPD-14490	-4.687213897705078	-603.0349731445312	-708.65228064
CPD-145	-5.046935081481934	-617.7554931640625	-624.05736536
CPD-14511	0.1569119691848755	-404.80377197265625	684.82929592
CPD-14512	0.10987550020217896	-406.72857666015625	632.43616008
CPD-14514	0.15983696281909943	-404.68408203125	677.29809592
CPD-14516	0.1426396518945694	-405.3878173828125	589.2193312
CPD-14534	3.6252286434173584	-262.8733825683594	-122.107537968
CPD-14541	-1.7185523509979248	-481.5514831542969	93.940498512
CPD-14543	-1.1854960918426514	-459.7377624511719	414.85749088
CPD-14545	-0.37120378017425537	-426.4153137207031	-40.068657576
CPD-14546	2.955862522125244	-290.2651672363281	11.1063543616
CPD-14554	7.723095417022705	-95.18057250976562	-79.151895288
CPD-14555	-2.535259962081909	-514.9727783203125	-344.23069224
CPD-14556	-2.139322519302368	-498.7702331542969	-46.321202072
CPD-14557	7.6514058113098145	-98.1142578125	-185.053625552
CPD-14558	-1.1743452548980713	-459.28143310546875	-28.3812410096
CPD-14564	0.4405907988548279	-393.195068359375	487.16768008
CPD-14565	2.2874627113342285	-317.617431640625	282.09498688
CPD-14590	-0.6811342239379883	-439.0982666015625	155.217375112
CPD-14592	-1.5477042198181152	-474.5600280761719	-9.9669411224
CPD-146	-3.059987783432007	-536.4456787109375	-383.17975744
CPD-14605	-0.7101835608482361	-440.2870178222656	391.13944088
CPD-14609	-2.50424861907959	-513.7037353515625	123.536269368
CPD-14635	-1.731879711151123	-482.09686279296875	44.41133996
CPD-14636	-1.7615888118743896	-483.3126220703125	38.470055776
CPD-14638	-1.743091106414795	-482.5556640625	-7.9817431616
CPD-14642	-0.2107454538345337	-419.8490295410156	-129.837775032
CPD-14650	-0.2534097731113434	-421.5949401855469	400.28834264
CPD-14668	-0.8938719630241394	-447.8039245605469	259.12482688
CPD-14673	1.2073469161987305	-361.8179016113281	572.28789656
CPD-14692	-1.5182526111602783	-473.35479736328125	385.17117408
CPD-14697	2.9080162048339844	-292.22314453125	340.503643616
CPD-14698	1.0905654430389404	-366.5968322753906	626.4343376
CPD-147	-3.054884672164917	-536.23681640625	-383.17975744
CPD-14701	0.9652401208877563	-371.7253723144531	763.90685408
CPD-14779	-3.743579626083374	-564.4196166992188	-474.08406104
CPD-14780	-3.743579626083374	-564.4196166992188	-474.08406104
CPD-14794	-3.302180528640747	-546.356689453125	-93.44206696
CPD-148	1.3509492874145508	-355.94140625	799.0611568
CPD-14804	-3.743579626083374	-564.4196166992188	-474.08406104
CPD-14805	-4.66074800491333	-601.951904296875	-652.661114
CPD-14806	-4.697261810302734	-603.4461669921875	-705.054208
CPD-14807	-4.66074800491333	-601.951904296875	-652.661114
CPD-14808	-3.7577664852142334	-565.0001220703125	-463.12196012
CPD-14811	-0.6178518533706665	-436.5086364746094	149.653445888
CPD-14873	-1.4063220024108887	-468.7743835449219	-113.617934192
CPD-14876	-1.1871962547302246	-459.8073425292969	70.696663072
CPD-14877	-2.091820240020752	-496.82635498046875	-186.200945296
CPD-14885	-0.602924108505249	-435.89776611328125	51.566385808
CPD-149	-3.5857276916503906	-557.9599609375	-720.12049912
CPD-14964	-2.892455816268921	-529.5899047851562	-363.55211136
CPD-14966	-3.6636853218078613	-561.150146484375	-630.67005184
CPD-14967	-3.0493648052215576	-536.010986328125	-405.52432576
CPD-14968	-0.25158023834228516	-421.52008056640625	400.28834264
CPD-150	-4.793332576751709	-607.3775634765625	-877.51329064
CPD-15016	-3.81078839302063	-567.169921875	-782.84213184
CPD-15028	3.9470603466033936	-249.70339965820312	-405.13203392
CPD-15041	-2.466888189315796	-512.1748657226562	-384.7091768
CPD-15056	1.7605738639831543	-339.1787414550781	14.8727196152
CPD-15061	-0.3275902569293976	-424.63055419921875	268.99442264
CPD-15062	-1.954890489578247	-491.222900390625	94.489142248
CPD-15093	-2.9246814250946045	-530.90869140625	-176.38302612
CPD-15099	-4.041360378265381	-576.6053466796875	-92.57279912
CPD-15104	-2.051513910293579	-495.1769104003906	-238.370735032
CPD-15117	-2.840137004852295	-527.4489135742188	-331.293496464
CPD-15118	-4.405706882476807	-591.51513671875	-138.72702612
CPD-15121	-1.9965243339538574	-492.9266357421875	-131.149647312
CPD-15124	-1.950484037399292	-491.0425720214844	-339.85155048
CPD-15125	-3.807858467102051	-567.050048828125	-556.51074384
CPD-15127	-3.8179757595062256	-567.4640502929688	-539.78612432
CPD-15129	0.3681545853614807	-396.1593017578125	289.10954656
CPD-15130	-0.350786030292511	-425.57977294921875	84.637474928
CPD-15131	0.366987407207489	-396.2070617675781	289.10954656
CPD-15132	-0.35061392188072205	-425.5727233886719	84.637474928
CPD-15134	-0.3901582360267639	-427.1909484863281	84.637474928
CPD-15143	-0.3714870810508728	-426.4269104003906	198.48465048
CPD-15147	-1.8379955291748047	-486.4393310546875	-165.871424848
CPD-15151	4.290092468261719	-235.6658477783203	472.21205576
CPD-15159	-3.0244014263153076	-534.9893798828125	238.088695776
CPD-15163	5.811125755310059	-173.42214965820312	386.778374
CPD-15171	-1.0713541507720947	-455.06683349609375	70.85930352
CPD-15178	-1.5153563022613525	-473.2362976074219	-67.445690888
CPD-15181	-4.7479047775268555	-605.5185546875	-754.98133608
CPD-152	-4.77908992767334	-606.7947387695312	-784.7863948
CPD-15204	-4.687213897705078	-603.0349731445312	-708.65228064
CPD-15205	-4.68721342086792	-603.0349731445312	-708.65228064
CPD-15216	-1.394885778427124	-468.306396484375	33.62641052
CPD-15219	-2.9557955265045166	-532.181884765625	-242.40658796
CPD-15228	0.4070347845554352	-394.5682373046875	58.604124848
CPD-15236	-3.757378339767456	-564.9842529296875	-521.623614624
CPD-15245	-4.506123065948486	-595.6243896484375	-343.4595392
CPD-15280	-1.595860242843628	-476.5306701660156	384.6217312
CPD-15285	-1.5779666900634766	-475.7984313964844	268.16226688
CPD-153	-3.614719867706299	-559.1464233398438	-627.3937288
CPD-15303	0.27080219984054565	-400.1431579589844	8.5548628792
CPD-15305	-3.3938040733337402	-550.1060791015625	-48.311334224
CPD-15306	-2.554863214492798	-515.7749633789062	103.27501088
CPD-15307	0.005514234304428101	-410.999267578125	307.672465056
CPD-15308	-3.393803596496582	-550.1060791015625	-48.311334224
CPD-15309	-1.6064808368682861	-476.96527099609375	-22.696183312
CPD-15310	-3.4052541255950928	-550.5746459960938	9.0978724408
CPD-15311	-2.5548627376556396	-515.7749633789062	103.27501088
CPD-15312	-2.5548627376556396	-515.7749633789062	103.27501088
CPD-15313	-2.5668036937713623	-516.2636108398438	109.425482512
CPD-15314	-2.5668036937713623	-516.2636108398438	109.425482512
CPD-15315	-0.5981907248497009	-435.7040710449219	199.158793296
CPD-15319	-3.574239492416382	-557.4898681640625	-424.17756008
CPD-15320	-3.0384418964385986	-535.56396484375	-242.127690888
CPD-15321	-3.0384418964385986	-535.56396484375	-242.127690888
CPD-15332	-2.460664749145508	-511.920166015625	-200.097774944
CPD-15373	-3.7631940841674805	-565.2222900390625	-387.884272144
CPD-15374	-3.7631940841674805	-565.2222900390625	-387.884272144
CPD-15377	-2.8904507160186768	-529.5078735351562	-321.4516992
CPD-15378	-2.8904507160186768	-529.5078735351562	-321.4516992
CPD-15380	-2.467716932296753	-512.208740234375	-55.260920568
CPD-15381	-1.1737596988677979	-459.2574768066406	-7.9445653928
CPD-15382	-3.7927873134613037	-566.4332885742188	-393.99290796
CPD-15383	-3.7631938457489014	-565.2222290039062	-387.884272144
CPD-15405	-2.9043056964874268	-530.0748291015625	-236.2978852
CPD-15406	-2.9043056964874268	-530.0748291015625	-236.2978852
CPD-1541	4.139044761657715	-241.84701538085938	-261.323251104
CPD-15411	-2.2039194107055664	-501.4136657714844	250.79944092
CPD-15412	-3.069153308868408	-536.8207397460938	91.640076736
CPD-15413	-3.0819685459136963	-537.3451538085938	175.078383792
CPD-15414	-1.9502143859863281	-491.03155517578125	250.3431548
CPD-15422	-1.9320240020751953	-490.28717041015625	-193.85377836
CPD-15426	-2.959547519683838	-532.33544921875	-165.57895488
CPD-15489	3.243915557861328	-278.47747802734375	192.366609032
CPD-15490	3.71559476852417	-259.1754150390625	192.366609032
CPD-15491	4.705928802490234	-218.6490020751953	93.112761056
CPD-15492	-2.4995927810668945	-513.51318359375	-65.218869856
CPD-15493	-2.239591360092163	-502.8734130859375	-98.5461704
CPD-15494	-3.1382172107696533	-539.64697265625	-263.730507136
CPD-155	-3.745117664337158	-564.4825439453125	-443.875564304
CPD-15507	-2.0257091522216797	-494.1209411621094	-133.69172856
CPD-15508	-1.1364858150482178	-457.732177734375	-145.826136072
CPD-15520	1.197904109954834	-362.2043151855469	275.21448256
CPD-15521	0.6222001314163208	-385.76324462890625	175.1054208
CPD-15522	-0.139754980802536	-416.9439697265625	279.89152512
CPD-15530	-4.688052177429199	-603.0692749023438	-698.94540064
CPD-15531	-1.403383731842041	-468.6541442871094	10.8275238152
CPD-15549	-2.952540159225464	-532.0487060546875	58.190795856
CPD-15554	1.0600686073303223	-367.8448181152344	66.13609052
CPD-15570	-1.6533021926879883	-478.8813171386719	257.17711212
CPD-15582	2.5103628635406494	-308.49591064453125	386.83425132
CPD-15584	5.236776351928711	-196.92567443847656	361.73027224
CPD-15585	2.722341775894165	-299.8212890625	203.37520256
CPD-15587	-2.9483349323272705	-531.8765869140625	-246.00480704
CPD-15589	-2.9483349323272705	-531.8765869140625	-246.00480704
CPD-15590	-3.7631940841674805	-565.2222900390625	-387.884272144
CPD-15592	-2.528172016143799	-514.6827392578125	-13.8757690656
CPD-15599	-3.2968878746032715	-546.1400756835938	-93.44206696
CPD-15600	-2.535233497619629	-514.9716796875	-13.8757690656
CPD-15609	-2.9483349323272705	-531.8765869140625	-246.00480704
CPD-15610	-2.9004721641540527	-529.91796875	288.22789408
CPD-15611	-3.302180290222168	-546.356689453125	-93.44206696
CPD-15612	-3.302180290222168	-546.356689453125	-93.44206696
CPD-15613	-3.302180290222168	-546.356689453125	-93.44206696
CPD-15614	-2.0326876640319824	-494.4065246582031	-77.138579592
CPD-15615	-2.9483349323272705	-531.8765869140625	-246.00480704
CPD-15616	-3.7927873134613037	-566.4332885742188	-393.99290796
CPD-15617	-2.037708282470703	-494.6119689941406	70.105790224
CPD-15618	-2.9043056964874268	-530.0748291015625	-236.2978852
CPD-15619	-2.9043056964874268	-530.0748291015625	-236.2978852
CPD-15620	-3.7631938457489014	-565.2222290039062	-387.884272144
CPD-15621	-3.81333065032959	-567.27392578125	-397.59112704
CPD-15622	-3.81333065032959	-567.27392578125	-397.59112704
CPD-15624	-3.81333065032959	-567.27392578125	-397.59112704
CPD-15625	-3.81333065032959	-567.27392578125	-397.59112704
CPD-15626	-3.7631938457489014	-565.2222290039062	-387.884272144
CPD-15627	-3.81333065032959	-567.27392578125	-397.59112704
CPD-15628	-3.81333065032959	-567.27392578125	-397.59112704
CPD-15629	-3.7631938457489014	-565.2222290039062	-387.884272144
CPD-15633	-4.688052177429199	-603.0692749023438	-698.94540064
CPD-15664	-5.0236430168151855	-616.8023071289062	-556.08970792
CPD-15665	-5.023642539978027	-616.8023071289062	-556.08970792
CPD-15671	-3.3007290363311768	-546.2972412109375	-93.44206696
CPD-15672	-3.1346490383148193	-539.5009765625	140.569831264
CPD-15681	-3.3007290363311768	-546.2972412109375	-93.44206696
CPD-15682	-3.3007290363311768	-546.2972412109375	-93.44206696
CPD-15695	-3.3007290363311768	-546.2972412109375	-93.44206696
CPD-15696	-3.3007290363311768	-546.2972412109375	-93.44206696
CPD-15698	-3.3007290363311768	-546.2972412109375	-93.44206696
CPD-15699	-2.8904507160186768	-529.5078735351562	-321.4516992
CPD-157	-3.6830973625183105	-561.944580078125	-442.49678568
CPD-15700	-2.8904507160186768	-529.5078735351562	-321.4516992
CPD-15701	-3.8137307167053223	-567.290283203125	-341.59983488
CPD-15702	-3.8137307167053223	-567.290283203125	-341.59983488
CPD-15703	-3.8137307167053223	-567.290283203125	-341.59983488
CPD-15747	-1.631739854812622	-477.9989318847656	233.240728448
CPD-15752	-2.4431958198547363	-511.205322265625	-163.97058344
CPD-15753	-2.7041473388671875	-521.8839721679688	-440.8113868
CPD-15756	-3.7631940841674805	-565.2222900390625	-387.884272144
CPD-15757	-3.81333065032959	-567.27392578125	-397.59112704
CPD-15758	-3.81333065032959	-567.27392578125	-397.59112704
CPD-15759	-3.813330888748169	-567.27392578125	-397.59112704
CPD-15760	-3.7631940841674805	-565.2222900390625	-387.884272144
CPD-15761	-3.813330888748169	-567.27392578125	-397.59112704
CPD-15762	-3.813330888748169	-567.27392578125	-397.59112704
CPD-15763	-1.5182526111602783	-473.35479736328125	385.17117408
CPD-15778	-1.0245068073272705	-453.1497497558594	122.628713744
CPD-15779	0.27871108055114746	-399.81951904296875	426.69400596
CPD-15782	2.2882649898529053	-317.5845947265625	4.9746094768
CPD-15790	-0.21580559015274048	-420.05609130859375	131.1546974
CPD-158	-2.176053762435913	-500.2733459472656	-257.752780312
CPD-15810	-1.1639883518218994	-458.85760498046875	28.874650088
CPD-15811	-2.04569411277771	-494.93878173828125	-137.815909912
CPD-15812	-1.103865385055542	-456.39727783203125	-19.3762516952
CPD-15813	-2.0673134326934814	-495.823486328125	-79.314238672
CPD-15818	-2.8904507160186768	-529.5078735351562	-321.4516992
CPD-15825	-3.7927873134613037	-566.4332885742188	-393.99290796
CPD-15829	-2.9342219829559326	-531.299072265625	-323.6273792
CPD-15848	-1.9399635791778564	-490.612060546875	-255.24163556
CPD-15866	0.47108277678489685	-391.947265625	127.98964784
CPD-15868	-2.8904507160186768	-529.5078735351562	-321.4516992
CPD-15887	-1.1779696941375732	-459.42974853515625	71.509572432
CPD-159	-1.624781608581543	-477.7142028808594	-0.40871429104
CPD-15901	0.7311384677886963	-381.3052978515625	597.65695296
CPD-15902	-1.0053887367248535	-452.3674011230469	402.482783696
CPD-15903	-0.6584669947624207	-438.1706848144531	194.60754688
CPD-15904	-0.6278130412101746	-436.916259765625	247.000653432
CPD-15905	2.720700979232788	-299.8884582519531	326.566990656
CPD-15915	-1.319880485534668	-465.2370300292969	156.75640512
CPD-15920	-0.38332194089889526	-426.91119384765625	355.41661624
CPD-15921	-1.4710237979888916	-471.422119140625	277.138637216
CPD-15922	-1.0650956630706787	-454.81072998046875	217.1772144
CPD-15941	-2.9483344554901123	-531.8765869140625	-246.00480704
CPD-15952	-2.838512897491455	-527.3824462890625	-193.27739052
CPD-15986	-3.813209056854248	-567.2689819335938	-394.7878052
CPD-15987	-3.813209056854248	-567.2689819335938	-394.7878052
CPD-15988	-3.8081276416778564	-567.06103515625	-401.31488704
CPD-15989	-3.8081276416778564	-567.06103515625	-401.31488704
CPD-15999	-2.736544609069824	-523.209716796875	-427.25133568
CPD-16	-0.9808247685432434	-451.3622131347656	-113.944051888
CPD-16013	1.0700230598449707	-367.43743896484375	-137.38306256
CPD-16015	2.4531409740448	-310.8375244140625	-190.013857968
CPD-16021	0.49589335918426514	-390.9319763183594	-175.09964688
CPD-161	-2.455303907394409	-511.7008056640625	133.121495384
CPD-16172	0.35274556279182434	-396.78985595703125	316.34320256
CPD-16173	0.36343419551849365	-396.35247802734375	173.956523688
CPD-16174	0.29092586040496826	-399.31964111328125	276.89226656
CPD-16176	0.23290516436100006	-401.6939697265625	577.9836176
CPD-16177	0.1990257203578949	-403.08038330078125	570.41053576
CPD-16178	0.24199256300926208	-401.3221130371094	449.2783384
CPD-16179	-0.014695271849632263	-411.8262634277344	360.8246036
CPD-16410	-2.0326876640319824	-494.4065246582031	-77.138579592
CPD-16411	-2.068765640258789	-495.8829040527344	-79.314238672
CPD-16412	-2.06876540184021	-495.88287353515625	-79.314238672
CPD-16413	-2.0326876640319824	-494.4065246582031	-77.138579592
CPD-16414	-2.0326876640319824	-494.4065246582031	-77.138579592
CPD-16415	-2.068765640258789	-495.8829040527344	-79.314238672
CPD-16416	-2.0326876640319824	-494.4065246582031	-77.138579592
CPD-16417	-2.06876540184021	-495.88287353515625	-79.314238672
CPD-16430	-3.3926594257354736	-550.0592651367188	4.547187936
CPD-16438	-1.631739854812622	-477.9989318847656	233.240728448
CPD-16443	-0.4613211154937744	-430.10308837890625	406.17012616
CPD-16448	3.1355648040771484	-282.9114074707031	-115.673537576
CPD-16449	-2.559426784515381	-515.9617309570312	-180.00003136
CPD-16451	-2.072505474090576	-496.03594970703125	-255.58104164
CPD-16452	-2.641402244567871	-519.3163452148438	-238.15763136
CPD-16458	-1.7051942348480225	-481.00482177734375	-7.7499232024
CPD-16478	-1.03584885597229	-453.6138916015625	157.0112944
CPD-16488	-1.8120903968811035	-485.3792419433594	-8.1730122112
CPD-16491	-1.9022448062896729	-489.06854248046875	170.958624928
CPD-16506	-0.7432422041893005	-441.6398620605469	203.57067904
CPD-16508	-1.6055433750152588	-476.92694091796875	1.21373752232
CPD-16509	3.4219295978546143	-271.1927795410156	559.28109576
CPD-16510	3.864225387573242	-253.09317016601562	478.9389236
CPD-16522	-4.717601299285889	-604.2785034179688	-784.14113832
CPD-16546	-0.6109567880630493	-436.2264709472656	190.456064928
CPD-16549	-0.6854179501533508	-439.2735595703125	437.58184088
CPD-16562	-0.7237516641616821	-440.8422546386719	466.8049052
CPD-16563	-3.0819685459136963	-537.3451538085938	175.078383792
CPD-16564	-2.944798707962036	-531.73193359375	-245.00064704
CPD-16565	-2.944798469543457	-531.7318725585938	-245.00064704
CPD-16566	-2.9557955265045166	-532.181884765625	-242.40658796
CPD-16576	-1.9285898208618164	-490.1466064453125	-338.49195968
CPD-16608	0.6911484599113464	-382.9417419433594	374.68226264
CPD-16609	0.6735131740570068	-383.6634216308594	374.68226264
CPD-16618	-0.8789878487586975	-447.19482421875	-406.92107048
CPD-16630	-1.706686019897461	-481.0658874511719	93.940498512
CPD-16697	-3.5929267406463623	-558.2545776367188	-58.403610832
CPD-16698	-4.4423322677612305	-593.013916015625	-395.97267216
CPD-16699	-2.878164768218994	-529.005126953125	42.356506432
CPD-16713	-0.2593260407447815	-421.8370361328125	-116.323434112
CPD-16714	-0.8501449227333069	-446.0145263671875	-360.636591376
CPD-16715	-2.9043092727661133	-530.0750122070312	-427.06912248
CPD-16716	0.8091884255409241	-378.111328125	-49.575366648
CPD-16720	-0.22502562403678894	-420.43341064453125	130.36913048
CPD-16721	-1.1382052898406982	-457.8025207519531	-21.217193704
CPD-16722	-1.0531811714172363	-454.32318115234375	-73.986830968
CPD-16723	-2.0092716217041016	-493.4482727050781	-121.17294952
CPD-16724	-1.972797155380249	-491.9556884765625	-118.211719336
CPD-16725	-1.9121975898742676	-489.475830078125	-234.40142444
CPD-16726	-1.913811445236206	-489.5418701171875	-234.40142444
CPD-16727	-2.000089645385742	-493.0725402832031	-218.534642072
CPD-16732	-1.157893180847168	-458.6081848144531	33.374604848
CPD-16759	5.35315465927124	-192.16323852539062	217.140587664
CPD-16769	0.3642520308494568	-396.3190002441406	395.3884184
CPD-16803	-2.396190643310547	-509.2817687988281	-454.95410176
CPD-16804	-3.151247262954712	-540.18017578125	-557.50783288
CPD-16808	-3.2033567428588867	-542.3126220703125	-269.57871824
