CPLX-7251	ALANINE-AMINOTRANSFERASE-RXN
MONOMER-12754	ALANINE-AMINOTRANSFERASE-RXN
CPLX66-372	ALANINE-AMINOTRANSFERASE-RXN
CPLX66-373	ALANINE-AMINOTRANSFERASE-RXN
CPLX-8759	ALARACECAT-RXN
CPLX0-8202	ALARACECAT-RXN
CPLX0-7465	ALARACECAT-RXN
MONOMER-18253	ALANINE-AMINOTRANSFERASE-RXN
AT1G70580-MONOMER	ALANINE-AMINOTRANSFERASE-RXN // ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // GLYCINE-AMINOTRANSFERASE-RXN
AT1G23310-MONOMER	ALANINE-AMINOTRANSFERASE-RXN // ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN // GLYCINE-AMINOTRANSFERASE-RXN
MONOMER-17674	ALANINE-AMINOTRANSFERASE-RXN // RXN-13698
MONOMER-17680	ALANINE-AMINOTRANSFERASE-RXN // RXN-13698
CPLX-7560	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
CPLX66-332	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
CPLX-7392	METHANOL-OXIDASE-RXN
MONOMER-17309	RXN-13286
CPLX-7099	RXN-8089 // RXN-8094 // RXN-8088
CPLX-7889	RXN-8089 // RXN-8094 // RXN-17510 // RXN-8091 // RXN-8088 // RXN-8092
MONOMER-14975	RXN-8089 // RXN-8094 // RXN-17510 // RXN-8091 // RXN-8088 // RXN-8092
MONOMER-14978	RXN-8089 // RXN-8094 // RXN-17510 // RXN-8091 // RXN-8088 // RXN-8092
MONOMER-14974	RXN-8089 // RXN-8094 // RXN-17510 // RXN-8091 // RXN-8088 // RXN-8092
MONOMER-14976	RXN-8089 // RXN-8094 // RXN-17510 // RXN-8091 // RXN-8088 // RXN-8092
MONOMER-14977	RXN-8089 // RXN-8094 // RXN-17510 // RXN-8091 // RXN-8088 // RXN-8092
CPLX-1527	RXN-8089 // RXN-8094 // RXN-8091 // RXN-8088
CPLX-7097	RXN-8089 // RXN-8088
MONOMER-14456	1.1.3.40-RXN // 1.1.3.41-RXN
MONOMER-15326	RXN-11152
HS07125-MONOMER	ALDOSE1EPIM-RXN // ALDOSE-1-EPIMERASE-RXN
MONOMER-6141	ALDOSE1EPIM-RXN
CPLX-8045	R312-RXN
MONOMER-2282	R312-RXN
CPLX-8152	RXN-11733
CPLX-7278	R309-RXN
CPLX-1122	ALLANTOATE-DEIMINASE-RXN
MONOMER-13525	ALLANTOATE-DEIMINASE-RXN
CPLX-7524	ALLANTOATE-DEIMINASE-RXN
CPLX-7979	ALLANTOATE-DEIMINASE-RXN
CPLX-7522	ALLANTOATE-DEIMINASE-RXN
CPLX-7520	ALLANTOICASE-RXN
MONOMER-3152	ALLANTOICASE-RXN
CPLX-7519	ALLANTOICASE-RXN
CPLX-9171	ALLANTOIN-RACEMASE-RXN
AT4G04955-MONOMER	ALLANTOINASE-RXN
MONOMER-11658	ALLANTOINASE-RXN
YIR027C-MONOMER	ALLANTOINASE-RXN
CPLX-1107	ALLANTOINASE-RXN
CPLX-64	ALLANTOINASE-RXN
MONOMER-13154	3.5.1.29-RXN
CPLX-5261	ACETOLACTATE-DECARBOXYLASE-RXN
MONOMER-17721	ACETOLACTATE-DECARBOXYLASE-RXN
