Namespace(batch_size=100, dataset='qm9', datasetPath='/scratch/zuck016/mpnn-data/qm9/dsgdb9nsd/', epochs=50, logPath='./log/qm9/mpnn/', log_interval=20, lr=0.001, lr_decay=0.6, model='MPNNv2', momentum=0.9, no_cuda=False, plotLr=False, plotPath='./plot/qm9/mpnn/', prefetch=2, resume='./checkpoint/qm9/mpnn/', schedule=[0.1, 0.9])
Prepare files
Define model
	Statistics
	Create model
Optimizer
Logger
=> no best model found at './checkpoint/qm9/mpnn/model_best.pth'
Check cuda
	* Cuda
Epoch: [0][1080/1139]	Time 0.982 (1.010)	Data 0.798 (0.810)	Loss 0.3883 (0.5341)	Error Ratio 2.1719 (2.7556)
Epoch: [0][1100/1139]	Time 1.017 (1.010)	Data 0.851 (0.810)	Loss 0.3782 (0.5327)	Error Ratio 1.9336 (2.7440)
Epoch: [0][1120/1139]	Time 0.955 (1.010)	Data 0.755 (0.810)	Loss 0.3424 (0.5303)	Error Ratio 2.1407 (2.7373)
Epoch: [0] Avg Error Ratio 2.722; Average Loss 0.529; Avg Time x Batch 1.009
Test: [20/100]	Time 1.833 (1.082)	Loss 0.3634 (0.3698)	Error Ratio 1.6998 (2.1444)
Test: [40/100]	Time 1.907 (1.061)	Loss 0.3551 (0.3709)	Error Ratio 1.6406 (2.2555)
Test: [60/100]	Time 1.896 (1.052)	Loss 0.4059 (0.3716)	Error Ratio 1.7665 (2.3427)
Test: [80/100]	Time 1.356 (1.041)	Loss 0.3068 (0.3714)	Error Ratio 3.2077 (2.3015)
 * Average Error Ratio 2.229; Average Loss 0.370
Epoch: [1][20/1139]	Time 1.909 (1.093)	Data 1.708 (0.894)	Loss 0.3204 (0.3946)	Error Ratio 1.9354 (2.2898)
Epoch: [1][40/1139]	Time 1.727 (1.058)	Data 1.528 (0.858)	Loss 0.3588 (0.3778)	Error Ratio 2.0794 (2.1722)
Epoch: [1][60/1139]	Time 1.860 (1.048)	Data 1.653 (0.850)	Loss 0.3302 (0.3806)	Error Ratio 1.3481 (2.0932)
Epoch: [1][80/1139]	Time 1.838 (1.047)	Data 1.646 (0.844)	Loss 0.4441 (0.3844)	Error Ratio 2.8139 (2.2802)
Epoch: [1][100/1139]	Time 1.849 (1.046)	Data 1.651 (0.844)	Loss 0.2512 (0.3772)	Error Ratio 1.6807 (2.4918)
Epoch: [1][120/1139]	Time 1.893 (1.046)	Data 1.652 (0.843)	Loss 0.2919 (0.3748)	Error Ratio 2.3321 (4.3499)
Epoch: [1][140/1139]	Time 1.807 (1.044)	Data 1.612 (0.841)	Loss 0.4456 (0.3795)	Error Ratio 3.1729 (4.0523)
Epoch: [1][160/1139]	Time 1.610 (1.042)	Data 1.414 (0.839)	Loss 0.3733 (0.3799)	Error Ratio 1.9296 (3.8054)
Epoch: [1][180/1139]	Time 1.791 (1.042)	Data 1.604 (0.838)	Loss 0.3162 (0.3788)	Error Ratio 2.8269 (3.6679)
Epoch: [1][200/1139]	Time 1.906 (1.041)	Data 1.707 (0.839)	Loss 0.3604 (0.3787)	Error Ratio 2.5053 (3.4985)
Epoch: [1][220/1139]	Time 1.830 (1.041)	Data 1.652 (0.841)	Loss 0.3235 (0.3783)	Error Ratio 1.7536 (3.3740)
Epoch: [1][240/1139]	Time 1.639 (1.041)	Data 1.461 (0.841)	Loss 0.3731 (0.3797)	Error Ratio 1.3609 (3.2668)
Epoch: [1][260/1139]	Time 1.856 (1.041)	Data 1.668 (0.842)	Loss 0.4167 (0.3816)	Error Ratio 2.6703 (3.1849)
Epoch: [1][280/1139]	Time 1.735 (1.040)	Data 1.532 (0.843)	Loss 0.3179 (0.3792)	Error Ratio 2.3646 (3.1100)
Epoch: [1][300/1139]	Time 1.883 (1.041)	Data 1.705 (0.844)	Loss 0.3031 (0.3755)	Error Ratio 1.4479 (3.0229)
Epoch: [1][320/1139]	Time 1.867 (1.042)	Data 1.709 (0.845)	Loss 0.4763 (0.3770)	Error Ratio 1.6094 (2.9886)
Epoch: [1][340/1139]	Time 1.843 (1.042)	Data 1.640 (0.846)	Loss 0.3006 (0.3730)	Error Ratio 4.5001 (2.9226)
Epoch: [1][360/1139]	Time 1.892 (1.041)	Data 1.714 (0.846)	Loss 0.2798 (0.3711)	Error Ratio 1.9994 (2.9010)
Epoch: [1][380/1139]	Time 1.836 (1.041)	Data 1.659 (0.846)	Loss 0.2118 (0.3669)	Error Ratio 1.3332 (2.8433)
Epoch: [1][400/1139]	Time 1.775 (1.040)	Data 1.618 (0.846)	Loss 0.3819 (0.3670)	Error Ratio 1.5935 (2.7952)
Epoch: [1][420/1139]	Time 1.703 (1.040)	Data 1.525 (0.846)	Loss 0.3301 (0.3654)	Error Ratio 1.2230 (2.7619)
Epoch: [1][440/1139]	Time 1.731 (1.040)	Data 1.495 (0.846)	Loss 0.3943 (0.3630)	Error Ratio 1.8323 (2.7445)
Epoch: [1][460/1139]	Time 1.485 (1.039)	Data 1.273 (0.846)	Loss 0.2733 (0.3601)	Error Ratio 3.2455 (2.7336)
Epoch: [1][480/1139]	Time 1.315 (1.038)	Data 1.137 (0.845)	Loss 0.2932 (0.3592)	Error Ratio 2.1102 (2.7047)
Epoch: [1][500/1139]	Time 1.289 (1.039)	Data 1.112 (0.846)	Loss 0.3034 (0.3573)	Error Ratio 2.0003 (2.6809)
Epoch: [1][520/1139]	Time 1.324 (1.038)	Data 1.147 (0.846)	Loss 0.2794 (0.3567)	Error Ratio 1.2097 (2.6751)
Epoch: [1][540/1139]	Time 1.292 (1.039)	Data 1.095 (0.847)	Loss 0.3786 (0.3554)	Error Ratio 2.7687 (2.6636)
Epoch: [1][560/1139]	Time 1.277 (1.039)	Data 1.069 (0.847)	Loss 0.2333 (0.3529)	Error Ratio 1.1834 (2.6309)
Epoch: [1][580/1139]	Time 1.291 (1.039)	Data 1.104 (0.848)	Loss 0.2503 (0.3507)	Error Ratio 1.3131 (2.6079)
Epoch: [1][600/1139]	Time 1.345 (1.039)	Data 1.115 (0.848)	Loss 0.3448 (0.3504)	Error Ratio 3.2781 (2.6178)
Epoch: [1][620/1139]	Time 1.196 (1.039)	Data 0.965 (0.848)	Loss 0.2180 (0.3490)	Error Ratio 1.3681 (3.0208)
Epoch: [1][640/1139]	Time 1.208 (1.039)	Data 1.031 (0.848)	Loss 0.2329 (0.3474)	Error Ratio 1.9030 (3.0132)
Epoch: [1][660/1139]	Time 1.141 (1.039)	Data 0.964 (0.848)	Loss 0.2904 (0.3459)	Error Ratio 2.0472 (2.9852)
Epoch: [1][680/1139]	Time 1.293 (1.039)	Data 1.116 (0.848)	Loss 0.2693 (0.3450)	Error Ratio 17.9306 (3.0063)
Epoch: [1][700/1139]	Time 1.253 (1.039)	Data 1.054 (0.848)	Loss 0.2284 (0.3436)	Error Ratio 1.5553 (2.9887)
Epoch: [1][720/1139]	Time 1.297 (1.039)	Data 1.100 (0.848)	Loss 0.2984 (0.3430)	Error Ratio 1.8549 (2.9766)
Epoch: [1][740/1139]	Time 1.065 (1.038)	Data 0.897 (0.848)	Loss 0.2489 (0.3411)	Error Ratio 1.7532 (2.9568)
Epoch: [1][760/1139]	Time 1.914 (1.039)	Data 1.697 (0.849)	Loss 0.2668 (0.3408)	Error Ratio 1.7784 (2.9371)
Epoch: [1][780/1139]	Time 1.959 (1.039)	Data 1.722 (0.849)	Loss 0.2101 (0.3390)	Error Ratio 1.6821 (2.9120)
Epoch: [1][800/1139]	Time 1.854 (1.040)	Data 1.677 (0.849)	Loss 0.2635 (0.3373)	Error Ratio 1.3500 (2.8965)
Epoch: [1][820/1139]	Time 1.892 (1.040)	Data 1.683 (0.848)	Loss 0.2523 (0.3369)	Error Ratio 1.2893 (2.8769)
Epoch: [1][840/1139]	Time 1.868 (1.040)	Data 1.672 (0.848)	Loss 0.2345 (0.3362)	Error Ratio 2.7264 (2.8745)
Epoch: [1][860/1139]	Time 1.838 (1.040)	Data 1.641 (0.848)	Loss 0.2401 (0.3342)	Error Ratio 1.9573 (2.8581)
Epoch: [1][880/1139]	Time 1.478 (1.040)	Data 1.303 (0.847)	Loss 0.3444 (0.3330)	Error Ratio 1.7791 (2.8555)
Epoch: [1][900/1139]	Time 1.752 (1.040)	Data 1.557 (0.847)	Loss 0.2315 (0.3311)	Error Ratio 1.5332 (2.8404)
Epoch: [1][920/1139]	Time 1.573 (1.040)	Data 1.378 (0.847)	Loss 0.3127 (0.3296)	Error Ratio 1.4998 (2.8221)
Epoch: [1][940/1139]	Time 1.610 (1.040)	Data 1.332 (0.847)	Loss 0.3685 (0.3292)	Error Ratio 2.2374 (2.8041)
Epoch: [1][960/1139]	Time 1.577 (1.040)	Data 1.359 (0.847)	Loss 0.2117 (0.3276)	Error Ratio 2.0708 (2.7833)
Epoch: [1][980/1139]	Time 1.314 (1.040)	Data 1.097 (0.846)	Loss 0.2532 (0.3265)	Error Ratio 1.9843 (2.7693)
Epoch: [1][1000/1139]	Time 1.139 (1.040)	Data 0.922 (0.846)	Loss 0.2798 (0.3268)	Error Ratio 1.9216 (2.7598)
Epoch: [1][1020/1139]	Time 1.001 (1.040)	Data 0.795 (0.846)	Loss 0.2508 (0.3254)	Error Ratio 2.2808 (2.8030)
Epoch: [1][1040/1139]	Time 1.160 (1.040)	Data 0.943 (0.846)	Loss 0.1821 (0.3239)	Error Ratio 1.4113 (2.7844)
Epoch: [1][1060/1139]	Time 1.045 (1.040)	Data 0.835 (0.845)	Loss 0.3366 (0.3240)	Error Ratio 1.4454 (2.7731)
Epoch: [1][1080/1139]	Time 1.097 (1.040)	Data 0.902 (0.845)	Loss 0.2318 (0.3230)	Error Ratio 3.2864 (2.7652)
Epoch: [1][1100/1139]	Time 0.970 (1.040)	Data 0.720 (0.845)	Loss 0.2703 (0.3236)	Error Ratio 1.4151 (2.7911)
Epoch: [1][1120/1139]	Time 1.176 (1.040)	Data 0.938 (0.845)	Loss 0.3668 (0.3232)	Error Ratio 1.5991 (2.7736)
Epoch: [1] Avg Error Ratio 2.775; Average Loss 0.322; Avg Time x Batch 1.039
Test: [20/100]	Time 1.814 (1.075)	Loss 0.2347 (0.2377)	Error Ratio 1.1913 (1.7116)
Test: [40/100]	Time 1.600 (1.045)	Loss 0.2232 (0.2404)	Error Ratio 1.6974 (1.9422)
Test: [60/100]	Time 1.942 (1.045)	Loss 0.3473 (0.2425)	Error Ratio 1.8036 (2.2150)
Test: [80/100]	Time 1.671 (1.042)	Loss 0.1856 (0.2400)	Error Ratio 3.4734 (2.1405)
 * Average Error Ratio 2.100; Average Loss 0.241
Epoch: [2][20/1139]	Time 1.631 (1.099)	Data 1.454 (0.905)	Loss 0.3402 (0.2358)	Error Ratio 1.6102 (1.9366)
Epoch: [2][40/1139]	Time 1.881 (1.073)	Data 1.665 (0.874)	Loss 0.2495 (0.2560)	Error Ratio 4.2364 (2.1902)
Epoch: [2][60/1139]	Time 1.957 (1.064)	Data 1.738 (0.865)	Loss 0.2637 (0.2571)	Error Ratio 3.2194 (2.1663)
